댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
UgysZ1Nc3tk7L1Cy4_J4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-02-05T05:11:10.969721+00:00,0,,,_o_XIk_v1Gg,"{""text"":""주인공이 최종보스죽이러가서 최종보스가 된 애니""}",
UgwT1w-AMievvfCzxY14AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-02-01T17:18:45.9532+00:00,0,,,RGiYZgdVcBA,"{""text"":""이게 어떻게 미자 목소린가요ㅠㅠ""},{""text"":""\n""},{""text"":""너무 좋다..""}",
UgxiBygeVH1BSWp4Ywh4AaABAg.9ImHEEAjNtG9InlpvMabEt,UCuGz8hZspvz_sC0P4DLUL8Q,2021-01-22T03:31:43.950182+00:00,0,UgxiBygeVH1BSWp4Ywh4AaABAg,,wBbKwNC0WzY,"{""text"":""감사합니다!""}",UgxiBygeVH1BSWp4Ywh4AaABAg
Ugwfq1mPFaNh-kuVfht4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-01-18T14:02:48.736603+00:00,0,,,_IPdC-VRRnQ,"{""text"":""어 지금 패치 했나요? 연무안뜨는디요""}",
UgyJFGqcB6Z8bKcbEeV4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-01-16T16:15:26.785488+00:00,0,,,gsDIx1T2w9c,"{""text"":""분명히 체력이 빨리는 장면인데 유준상님이 가장 편해보임""}",
UgwEaWcN1zKOlxxIv_l4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-01-09T08:45:58.00529+00:00,0,,,DlgTwCIB4WU,"{""text"":""아 케빈님 컨트롤 다 돌아가셨네 뒤돌았을때 바로 칼들었으면 이겼을듯""}",
UgwjDHIed0nN09Ie_FN4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-01-06T15:26:57.510452+00:00,0,,,b4EdHUM3Bj4,"{""text"":""08:03"",""videoLink"":{""externalVideoId"":""b4EdHUM3Bj4"",""startTimeSeconds"":483}},{""text"":"" 총기울여쏘기""}",
UgzvF8EfuDVt3Cs0cOV4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-13T16:16:15.018359+00:00,0,,,XC7US8-JpUI,"{""text"":""소매에 찹쌀가루 어떻게 할꺼야;;""}",
Ugyn4yPr0Xp_Jp1uMul4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-13T12:37:11.351163+00:00,0,,,AJz02xFdoPc,"{""text"":""몬스터 울트라 시트라맛 흰색은 355ml에 14kcal인데요...?""}",
Ugzs3HB8VPTzL6lXCVV4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-12T04:21:23.178236+00:00,0,,UgyofojXwQErGcOLE_l4AaABCQ,,"{""text"":""빅헤드 큰머리요!""}",
UgyHdbDI6W-q4-JhN3t4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-12T03:21:08.356946+00:00,0,,,AwAI9ryu3-w,"{""text"":""롤은 안돼 그질병겜은 안돼 게임은 질병이 아니지만 롤은 질병이야""}",
